date,headline,short_description,category,link,authors,company,source_file
2012-12-30,2012 Taught Apple How To Say Sorry,"The company at first defended its work. “We are continuously improving it,"" a spokesperson argued, ""and as Maps is a cloud",TECH,https://www.huffingtonpost.com/entry/2012-taught-apple-how-to_us_5bb35e98e4b0fa920b971f85,Catharine Smith,Apple,data_2012.json
2012-12-22,"New Google Phone -- Codename 'X Phone' -- Is Being Developed To Take On Apple, Samsung: WSJ",The Journal quoted the people saying that Motorola is working on two fronts: devices that will be sold by carrier partner,TECH,https://www.huffingtonpost.com/entry/google-x-phone_us_5bb35e66e4b0fa920b971c0f,"Reuters, Reuters",Apple,data_2012.json
2012-12-15,"Microsoft, Motorola Want To Keep Patent Details Of Their Legal Fight A Secreeeet",The details concern terms of Motorola's licenses with third parties and Microsoft's business and marketing plans for future,TECH,https://www.huffingtonpost.com/entry/microsoft-motorola-patent_us_5bb35e09e4b0fa920b971636,"Reuters, Reuters",Microsoft,data_2012.json
2012-12-09,"iPhone 5S Photos, iGlasses And Apple Television Whispers: This Week In Apple Rumors","Hello, ladies and gentlemen, and welcome to This Week In Apple Rumors, our regular look back at all of the week's unconfirmed",TECH,https://www.huffingtonpost.com/entry/iphone-5s-photos-apple-television-rumors_us_5bb35d75e4b0fa920b970fe7,Jason Gilbert,Apple,data_2012.json
2012-12-09,A Little Apple Goes A Long Way,The company is being tweaked for its relatively measly investment in U.S. manufacturing. But the impact of $100 million on,TECH,https://www.huffingtonpost.comhttp://www.thedailybeast.com/articles/2012/12/09/a-little-apple-goes-a-long-way.html,,Apple,data_2012.json
2012-12-08,Most Viral Tech Ads Of 2012: Samsung's iPhone Fanboy Ad Takes The Crown; Apple Has Surprisingly Weak Showing,"Regardless of what you think of methodology, the Visible Measures list provides a handy look back at some of the larger and",TECH,https://www.huffingtonpost.com/entry/most-viral-tech-ads-2012_us_5bb35d72e4b0fa920b970fac,Jason Gilbert,Apple,data_2012.json
2012-12-01,"Surface Pro Battery Life: With 'Approximately Half' The Power Of Surface RT, It Sounds Truly Terrible","We really wanted the Microsoft Surface to succeed, if for nothing else but to light a fire under Apple to step its game up",TECH,https://www.huffingtonpost.com/entry/surface-pro-battery-life_us_5bb35d19e4b0fa920b97092d,Dino Grandoni,Apple,data_2012.json
2012-11-23,"Apple Black Friday 2012 Sale: Price Chopped On iPads, iPods, Macs And Others Products","One of Apple's biggest bargains is on laptops, which, while it won't win any doorbuster prizes, is still a sizable discount",TECH,https://www.huffingtonpost.com/entry/apple-black-friday-2012_us_5bb35c96e4b0fa920b9701b2,Catharine Smith,Apple,data_2012.json
2012-11-11,"Apple, HTC Lawsuit Settled By Agreeing Not To Fight For 1 Whole Decade","Late last year, the U.S. International Trade Commission ruled that HTC had infringed upon one of four patents Apple had disputed",TECH,https://www.huffingtonpost.com/entry/apple-htc-lawsuit-settlement_us_5bb35bdce4b0fa920b96f590,"Reuters, Reuters",Apple,data_2012.json
2012-11-03,Apple's Second Apology To Samsung Is Much Less Snarky,"The link takes you to a straightforward, if legalese heavy, description of the ruling in favor of Samsung on Oct. 18: At",TECH,https://www.huffingtonpost.com/entry/apple-apology-samsung_us_5bb35b4ee4b0fa920b96eeb7,Dino Grandoni,Apple,data_2012.json
